iter	MultiClass
0	1.787363565
1	1.783209641
2	1.778830409
3	1.775161527
4	1.772002659
5	1.76866017
6	1.76516884
7	1.760735469
8	1.757152717
9	1.752581279
10	1.749196572
11	1.745203804
12	1.741418199
13	1.738609976
14	1.735701226
15	1.732725303
16	1.729132462
17	1.725995952
18	1.72321985
19	1.720468796
20	1.71764041
21	1.713510351
22	1.710646125
23	1.707813112
24	1.705041465
25	1.702106176
26	1.699022722
27	1.6964475
28	1.692745729
29	1.689796766
30	1.687207101
31	1.685747424
32	1.682704525
33	1.680612314
34	1.677493358
35	1.675249533
36	1.672592176
37	1.670390478
38	1.6677895
39	1.664628852
40	1.662736503
41	1.660655386
42	1.658660013
43	1.656530779
44	1.654338216
45	1.652114671
46	1.64932528
47	1.646857061
48	1.644881393
49	1.643438313
50	1.64173679
51	1.639306086
52	1.637307931
53	1.634724313
54	1.632244613
55	1.629885075
56	1.627485781
57	1.624830623
58	1.623108269
59	1.620703667
60	1.619110094
61	1.61733229
62	1.615907413
63	1.614018316
64	1.612389062
65	1.610702539
66	1.609071186
67	1.607231381
68	1.605061981
69	1.603582146
70	1.601733616
71	1.599785277
72	1.598400406
73	1.596636252
74	1.594263244
75	1.592628796
76	1.590876784
77	1.588661424
78	1.586450227
79	1.584533861
80	1.583025791
81	1.58150164
82	1.57957732
83	1.577016672
84	1.574750019
85	1.573115721
86	1.571372405
87	1.569482459
88	1.567824195
89	1.566712643
90	1.564705174
91	1.56359248
92	1.561819637
93	1.559498721
94	1.558305512
95	1.556170248
96	1.554559423
97	1.55349064
98	1.551348574
99	1.54946995
100	1.547910138
101	1.546016998
102	1.543898332
103	1.542497598
104	1.54053322
105	1.538934278
106	1.537478679
107	1.535543685
108	1.533663494
109	1.531871011
110	1.530489027
111	1.52858331
112	1.527009465
113	1.525888165
114	1.524440963
115	1.52230737
116	1.519293253
117	1.517500888
118	1.51558736
119	1.51401898
120	1.512280428
121	1.510306988
122	1.508071139
123	1.506133693
124	1.5043809
125	1.502656583
126	1.501193056
127	1.499789143
128	1.498207453
129	1.496746536
130	1.495243576
131	1.493543392
132	1.49208757
133	1.49003978
134	1.48819852
135	1.486707114
136	1.485226287
137	1.483797116
138	1.482426718
139	1.480646804
140	1.479004559
141	1.477076438
142	1.475268527
143	1.473769925
144	1.471975524
145	1.470623142
146	1.469101472
147	1.467602262
148	1.46621317
149	1.464490776
150	1.463298316
151	1.462018705
